7,Control by school crossing patrol,Footbridge or subway
3,None within 50 metres,Zebra crossing
15,Control by school crossing patrol,No physical crossing within 50 meters
4,Control by school crossing patrol,Pedestrian phase at traffic signal junction
12,Control by other authorised person,non-junction pedestrian crossing
5,Control by school crossing patrol,Zebra crossing
18,None within 50 metres,No physical crossing within 50 meters
6,None within 50 metres,non-junction pedestrian crossing
2,Control by other authorised person,Footbridge or subway
10,Control by other authorised person,Central refuge
1,None within 50 metres,Central refuge
16,None within 50 metres,Pedestrian phase at traffic signal junction
13,Control by other authorised person,Zebra crossing
14,Control by school crossing patrol,Central refuge
9,Control by school crossing patrol,non-junction pedestrian crossing
11,None within 50 metres,Footbridge or subway
8,Control by other authorised person,No physical crossing within 50 meters
17,Control by other authorised person,Pedestrian phase at traffic signal junction
